event_name,catagories,event_type,start_date,start_time,end_date,end_time,location,base_price,ticket_price,capacity,registration_type,image_url,short_description,detailed_description
Taking to the Air,Exploring Self Tying,TICKETS,03/15/2026,12:00,03/15/2026,14:00,"1233R Queen St W, Toronto, ON M6K 1L5, Canada",30,33.9,24,TICKETS,,,
Futos and Frictions,Simple Harnesses,TICKETS,03/15/2026,14:30,03/15/2026,16:30,"1233R Queen St W, Toronto, ON M6K 1L5, Canada",30,33.9,24,TICKETS,,,
Your First Rope Class,Your First Rope Class,TICKETS,03/22/2026,12:00,03/22/2026,14:00,"1233R Queen St W, Toronto, ON M6K 1L5, Canada",30,33.9,24,TICKETS,,,
Simple Predicaments,Turn up the Heat,TICKETS,03/22/2026,14:30,03/22/2026,16:30,"1233R Queen St W, Toronto, ON M6K 1L5, Canada",35,39.55,24,TICKETS,,,
Zero to Suspension  Part 1,Simple Harnesses,TICKETS,04/05/2026,12:00,04/05/2026,14:00,"1233R Queen St W, Toronto, ON M6K 1L5, Canada",30,33.9,24,TICKETS,,,
Zero to Suspension  Part 2,Suspension Lines,TICKETS,04/05/2026,14:30,04/05/2026,16:30,"1233R Queen St W, Toronto, ON M6K 1L5, Canada",35,39.55,24,TICKETS,,,
Self Tied Partials,Exploring Self Tying,TICKETS,04/19/2026,12:00,04/19/2026,14:00,"1233R Queen St W, Toronto, ON M6K 1L5, Canada",30,33.9,24,TICKETS,,get into the air (yourself) at birdhaus,"Come level up your self tie experience with partial suspension! 

Join us for a fun exploration of movement with the folks at Birdhaus. We will be exploring partial-based ties around the use of hip/waist harnesses and covering safety and simple lock offs for your self tie adventures

Selftiers should have a handle of the basics of self tying and rope handling along with their body's limitations, your own rope and ring is recommended for use in this class.

Prerequisites for self tie: knowledge of single column, upline lockoffs
Recommended: a hip harness"
Your First Self Tie,Beginner Self Tying,TICKETS,04/19/2026,14:30,04/19/2026,16:30,"1233R Queen St W, Toronto, ON M6K 1L5, Canada",30,33.9,24,TICKETS,,,
Beginner Body Mechanics,Anatomy Lab,TICKETS,04/26/2026,12:00,04/26/2026,14:00,"1233R Queen St W, Toronto, ON M6K 1L5, Canada",35,39.55,24,TICKETS,,,
Efficient Rope,Tip and Tricks,TICKETS,04/26/2026,14:30,04/26/2026,16:30,"1233R Queen St W, Toronto, ON M6K 1L5, Canada",30,33.9,24,TICKETS,,,
Tenshi,Complex Harnesses,TICKETS,05/03/2026,12:00,05/03/2026,14:00,"1233R Queen St W, Toronto, ON M6K 1L5, Canada",35,39.55,24,TICKETS,,,
Tenshi in the Air,The Body In Flight,TICKETS,05/03/2026,14:30,05/03/2026,16:30,"1233R Queen St W, Toronto, ON M6K 1L5, Canada",40,45.2,24,TICKETS,,,
Taking to the Air,Exploring Self Tying,TICKETS,05/17/2026,12:00,05/17/2026,14:00,"1233R Queen St W, Toronto, ON M6K 1L5, Canada",30,33.9,24,TICKETS,,,
Futos and Frictions,Simple Harnesses,TICKETS,05/17/2026,14:30,05/17/2026,16:30,"1233R Queen St W, Toronto, ON M6K 1L5, Canada",30,33.9,24,TICKETS,,,
Connective Rope,Beginner Rope For Play,TICKETS,05/24/2026,12:00,05/24/2026,14:00,"1233R Queen St W, Toronto, ON M6K 1L5, Canada",30,33.9,24,TICKETS,https://drive.google.com/file/d/12rSvdjf9poYGV4QNYbndPasXuG2rDA2F/view?usp=drive_link,,"Looking for a gateway to fall in love with rope? Sick of harness practice and want to do something more playful, experimental, and intimate? Do you have two left thumbs and want to enjoy rope but knots seem endlessly complicated?
This class is for you.
Welcome to Connective rope! In this class we'll learn the foundations of using rope as the central tool for bdsm and sensation play. And we'll learn about using rope to create a conversation with your partner on the floor.
We will slowly add small techniques and show some of their uses
All participants will have a guided experience tying themselves or tying with a partner exploring the power of rope in a low-pressure environment that fosters creativity and simplicity."
Rope for Photography,Tip and Tricks,TICKETS,05/24/2026,14:30,05/24/2026,16:30,"1233R Queen St W, Toronto, ON M6K 1L5, Canada",30,33.9,24,TICKETS,https://drive.google.com/file/d/1xuIElsfYmt7UyLEJh_ws996d97GvsiwX/view?usp=drive_link,Pretty pretty pictures!,"In this class we'll be covering some basics for Photography and Rope, students can expect to cover:
- techniques for 'cleaning up' ties to make rope photos look best
- Framing, lens and lighting considerations 
- guidance for models in photography situations
- live tying and photography exercises/opportunities
- photography review / photography appreciation discussion

Prerequisites: None
to bring: Phone with camera or full-frame camera if possible
Self-tie friendly: Heck yes (but you might want to bring a remote for your camera if possible)"
Rope for Rough Body Play and Sadism,Turn up the Heat,TICKETS,05/31/2026,12:00,05/31/2026,14:00,"1233R Queen St W, Toronto, ON M6K 1L5, Canada",35,39.55,24,TICKETS,https://drive.google.com/file/d/1lPFiFkGx_2barntcQQrQ9uK8wOze40iR/view?usp=drive_link,mean tricks for ouchey rope funtime,"This class will discuss many techniques for creating intense sensations for floorwork and partials. Some techniques we will explore include:
Warmups and massage to prevent carpal tunnel and other issues (for riggers)
Pressure points and their locations for body manipulation and sensation
Methods to increase tension and create challenge
Compression ties for leg/foot torture AND calming
Compression ties for diaphram/ribcage attack (breathplay)
Skin torture/abrasion play with rope
Instant-release neckrope techniques for blood chokes
Opportunistic partial suspension.

The class will include ample practice time to explore these techniques.

Learning goals for riggers & models/bottoms:
Introduction to palpation - using sensory information to locate and exploit potential pressure points all over the body, creating intense sensation with minimal effort. also applicable for massage.
Opportunities to negotiate & execute pain-centric play in rope
Introduction to pain processing through breath
Opportunities to negotiate & execute breath and/or blood restriction play

Prerequisites: 
attendees in a rigger position should have working knowledge of the following techniques:
Single column tie
Basic hitches and frictions: X friction, Munter hitch, Half hitch
Suspension lines (for partials)


Attendees in a bottoming/model position should be open to high-intensity sensations and/or pain, and prepared for breath restriction, light blood chokes."
Improvised Suspensions,The Body In Flight,TICKETS,05/31/2026,14:30,05/31/2026,16:30,"1233R Queen St W, Toronto, ON M6K 1L5, Canada",40,45.2,24,TICKETS,https://drive.google.com/file/d/1HnicDrpoVxXBn19p-dESsbj4CFAEa1wR/view?usp=drive_link,,"This class explores suspending on improvised harnesses that will be arbitrary in shape. We will begin working from some simple guidelines including safety practices to build safe suspensions and partial suspensions fully on the fly.
Students can expect to cover the following techniques:
‘Rope elevator’ & ‘leg lifting’ techniques for testing improvised harnesses or structures in the air
‘Lift and unclip’ safety lowering techniques
Construction patterns for fully unplanned harnesses (multiple approaches)
Open loop/single column based suspensions.

Students should be aware of nerve damage related risks, and have a single column tie, safe suspension lines.
The class will cover various suspension line techniques which compliment improvised harnesses, as well as ways to enhance and/or change poses once in the air

Pre-requisites: Single column tie, Suspension lines
Self-tie friendly: Friendly, but not optimized"
From The Bottom Up,Bottoming,TICKETS,06/14/2026,12:00,06/14/2026,14:00,"1233R Queen St W, Toronto, ON M6K 1L5, Canada",30,33.9,24,TICKETS,,,
The Tasting Menu,Special,TICKETS,06/14/2026,14:30,06/14/2026,16:30,"1233R Queen St W, Toronto, ON M6K 1L5, Canada",30,33.9,24,TICKETS,,,
Self Tied Partials,Exploring Self tying,TICKETS,06/21/2026,12:00,06/21/2026,14:00,"1233R Queen St W, Toronto, ON M6K 1L5, Canada",30,33.9,24,TICKETS,,get into the air (yourself) at birdhaus,"Come level up your self tie experience with partial suspension! 

Join us for a fun exploration of movement with the folks at Birdhaus. We will be exploring partial-based ties around the use of hip/waist harnesses and covering safety and simple lock offs for your self tie adventures

Selftiers should have a handle of the basics of self tying and rope handling along with their body's limitations, your own rope and ring is recommended for use in this class.

Prerequisites for self tie: knowledge of single column, upline lockoffs
Recommended: a hip harness"
Self Tied Chest Harnesses,Simple Harnesses,TICKETS,06/21/2026,14:30,06/21/2026,16:30,"1233R Queen St W, Toronto, ON M6K 1L5, Canada",30,33.9,24,TICKETS,,,
